"review","aspect","sentiment"
"Wow tempatnya keren, asyik baget","tempatnya","1"
"Jos gandos tempatnya","tempatnya","1"
"Destinasi wisata","Destinasi wisata","0"
"Tempat ini wajib dikunjungi","Tempat","1"
"temptnya bagus","temptnya","1"
"Tempatnya asik","Tempatnya","1"
"Tempat nya bagus","Tempat","1"
"tempat yg bagus","tempat","1"
"Tidak akan bosan dengan tempat ini","tempat ini","1"
"Tempat wisata","Tempat wisata","0"
"aku suka tempat nya","tempat","1"
"Petualangan yg nyaman","Petualangan","1"
"Tempat wisata terbaik","Tempat wisata","1"
"The best tempatnya","tempatnya","1"
"Saya suka tempat ini..","tempat ","1"
"Tempat yang luar biasa bagus","Tempat","1"
"Sangat suka tempat ini.","tempat","1"
"intinya tempat ini keren...","tempat","1"
"Luar biasa danau kelimutu","danau kelimutu","1"
"wisata terbaikkk","wisata","1"
"Tempat wisata","Tempat wisata","0"
"Enak untuk berwisata keluarga","berwisata","1"
"Keren loh tempatnya","tempatnya","1"
"Keren temptnya","temptnya","1"
"Keren sayang banyak sampah","sampah","-1"
"Keren, masyarakat nya jg jual pernak pernik buatan mereka","masyarakat","1"
"Tempat yang sangat keren","Tempat","1"
"Keren banget. Jalannya juga ga jauh","Jalannya","1"
"tempatnya keren bangat","tempatnya","1"
"Waooow keren bangat tempatnya......","tempatnya","1"
"Tempat yang sangat menarik..","Tempat","1"
"tempat yg wajib di kunjungi bagi para traveler","tempat","1"
"Tempatnya keren","Tempatnya","1"
"Tempatnya keren","Tempatnya","1"
"Tempatnya keren sekali...","Tempatnya","1"
"Pantainya keren","Pantainya","1"
"Pantainya Keren, air biru tosca, pasir putih. Pantainya ramai dan bersih.","Pantainya","1"
"Pantainya Keren, air biru tosca, pasir putih. Pantainya ramai dan bersih.","Pantainya","1"
"Mantap,  mck Oke.  Tempat sholat belum ada. Dingin n rame tentunya. Kopi 10 ribu","Tempat sholat","0"
"Wisata alam yg sangat bagus. Ditempat ini, Kita bisa lihat tiga danau dgn warna air yg berbeda. Ases jalan bagus banget. Tetapi untuk sampai lokasi puncak kita butuh tenaga dan stamina...harus jalan kaki menanjak...dan banyak kera2 yg juga hidup bebas. Banyak denger bunyi2 burung yang bagus dan keren.....akses dari bandara kurang lebih 2 jam perjalanan dgn menggunakan mobil....tetapi kita juga bisa dgn sepeda motor...aman...banyak bule menggunakan sepeda motor untuk menuju lokasi ini....","Wisata","1"
"Wisata alam yg sangat bagus. Ditempat ini, Kita bisa lihat tiga danau dgn warna air yg berbeda. Ases jalan bagus banget. Tetapi untuk sampai lokasi puncak kita butuh tenaga dan stamina...harus jalan kaki menanjak...dan banyak kera2 yg juga hidup bebas. Banyak denger bunyi2 burung yang bagus dan keren.....akses dari bandara kurang lebih 2 jam perjalanan dgn menggunakan mobil....tetapi kita juga bisa dgn sepeda motor...aman...banyak bule menggunakan sepeda motor untuk menuju lokasi ini....","jalan","1"
"Wisata alam yg sangat bagus. Ditempat ini, Kita bisa lihat tiga danau dgn warna air yg berbeda. Ases jalan bagus banget. Tetapi untuk sampai lokasi puncak kita butuh tenaga dan stamina...harus jalan kaki menanjak...dan banyak kera2 yg juga hidup bebas. Banyak denger bunyi2 burung yang bagus dan keren.....akses dari bandara kurang lebih 2 jam perjalanan dgn menggunakan mobil....tetapi kita juga bisa dgn sepeda motor...aman...banyak bule menggunakan sepeda motor untuk menuju lokasi ini....","akses","1"
"Bagus daaan, keren. Akses dari jalan utama lumayan dekat. apalagi dari bandara mali, palingan cuma ditempuh waktu 15-20 menit aja sudah sampe. Warganya ramah2, bisa sewa pakaian adat dan mereke juga jual kerajinan tangan mereka sendiri. Ada kain tenun, gelang, dan kalung2. Harga bervariasi mulai dari 20rb ke atas.","Akses","1"
"Bagus daaan, keren. Akses dari jalan utama lumayan dekat. apalagi dari bandara mali, palingan cuma ditempuh waktu 15-20 menit aja sudah sampe. Warganya ramah2, bisa sewa pakaian adat dan mereke juga jual kerajinan tangan mereka sendiri. Ada kain tenun, gelang, dan kalung2. Harga bervariasi mulai dari 20rb ke atas.","Warganya","1"
"Salah satu kampung adat di pulau Flores yang indah. Lokasi desa Ngada di kab Bajawa ini, tepat di bawah kaki gunung. Keren banget. Kebudayaan mereka yg terjaga menjadi daya tarik in this world. Make sure go to this place. Take some pics and talk with the people. Super interesting!!!","kampung","1"
"Salah satu kampung adat di pulau Flores yang indah. Lokasi desa Ngada di kab Bajawa ini, tepat di bawah kaki gunung. Keren banget. Kebudayaan mereka yg terjaga menjadi daya tarik in this world. Make sure go to this place. Take some pics and talk with the people. Super interesting!!!","Kebudayaan","1"
"Tempat yang Sangat indah dan pastinya  keren, baterai full sampai habis pake potret kiri, potret kanan, dan Potret samping sampai pusing mau potret bagian mana karena semua tempat bagus..","Tempat","1"
"Tempatnya nyaman, liat sunrise dari sini keren","Tempatnya","1"
"Tempat sejuk, pemandangan keren, masyarakat ramah2, benar2 mantap...","pemandangan","1"
"Tempat sejuk, pemandangan keren, masyarakat ramah2, benar2 mantap...","masyarakat","1"
"Tempat wisata pantai yg bagus di Kupang.","pantai ","1"
"Sayang msh banyak sampah plastiknya","sampah plastiknya","-1"
"Kampung Adat Bena yang menawan dengan rumah-rumah yang berbentuk kerucut. Ada batu-batu besar untuk tempat sesaji pada saat upacara adat.","Kampung Adat Bena","1"
"Kampung Adat Bena yang menawan dengan rumah-rumah yang berbentuk kerucut. Ada batu-batu besar untuk tempat sesaji pada saat upacara adat.","rumah-rumah","1"
"Kampung Adat Bena yang menawan dengan rumah-rumah yang berbentuk kerucut. Ada batu-batu besar untuk tempat sesaji pada saat upacara adat.","upacara adat","1"
"Tempat ini yang rela buat saya bangun pagi hanya uti menikmati matahari terbit. Sumpah keren abisssss","Tempat","1"
"Tempat piknik....","Tempat ","0"
"Jika ingin berenang, datanglah sore hari sekitar jam 15.00 saat sinar matahari bisa masuk ke dalam goa. Saat itulah berenang akan lebih mengesankan karena pendaran sinar matahari dengan air di goa rangko. Karena mulut goa ada di sisi barat tebing, maka pagi-siang hari cahaya matahari belum masuk. Pantai masih bersih dan alami.","Pantai","1"
