"review","aspect","sentiment"
"""1970 - 80 's resort sangat terawat dan dikelola/direnovasi""","resort sangat terawat","1"
"""kenyamanan untuk tamu adalah nomor satu""","Kenyamanan untuk tamu adalah Nomor satu","1"
"(+) hotel ini besar dan terawat dengan baik, taman yang sangat 2 terawat, staf sangat sopan dan baik (sebagian besar). mereka memiliki matahari terbenam bar/restoran italia yang memiliki pemandangan matahari terbenam yang bagus. kamar adalah bersih.    ( - ) walaupun begitu hotel terletak di sebelah pantai senggigi, jarak dari sebagian besar kamar ke pantai ini masih jauh. kami masih harus berjalan 5 - 10 menit tergantung pada posisi kamar. hal ini tidak bahwa buruk, pantai pasir hitam dan penuh dengan batu karang (di pantai). semua pantai ini dipenuhi dengan batu karang dan kami harus langkah di atas mereka jika kami ingin pergi ke laut.    tidak hanya itu. hotel ini juga dikelilingi dengan pagar. ya, pagar. jadi kami merasa seperti kami berada di kamp konsentrasi.    kesimpulan terakhir, ini adalah bintang 5 kualitas hotel tapi pantai senggigi itu sendiri yang membuat hotel kurang diinginkan. saya akan tinggal di kuta lombok pantai atau pantai lain di lombok selatan yang memiliki pasir putih dan karang di pasir pantai gratis di kunjungan saya berikutnya.","hotel ini besar dan terawat","1"
"(+) hotel ini besar dan terawat dengan baik, taman yang sangat 2 terawat, staf sangat sopan dan baik (sebagian besar). mereka memiliki matahari terbenam bar/restoran italia yang memiliki pemandangan matahari terbenam yang bagus. kamar adalah bersih.    ( - ) walaupun begitu hotel terletak di sebelah pantai senggigi, jarak dari sebagian besar kamar ke pantai ini masih jauh. kami masih harus berjalan 5 - 10 menit tergantung pada posisi kamar. hal ini tidak bahwa buruk, pantai pasir hitam dan penuh dengan batu karang (di pantai). semua pantai ini dipenuhi dengan batu karang dan kami harus langkah di atas mereka jika kami ingin pergi ke laut.    tidak hanya itu. hotel ini juga dikelilingi dengan pagar. ya, pagar. jadi kami merasa seperti kami berada di kamp konsentrasi.    kesimpulan terakhir, ini adalah bintang 5 kualitas hotel tapi pantai senggigi itu sendiri yang membuat hotel kurang diinginkan. saya akan tinggal di kuta lombok pantai atau pantai lain di lombok selatan yang memiliki pasir putih dan karang di pasir pantai gratis di kunjungan saya berikutnya.","hotel ini besar dan terawat","1"
"(+) hotel ini besar dan terawat dengan baik, taman yang sangat 2 terawat, staf sangat sopan dan baik (sebagian besar). mereka memiliki matahari terbenam bar/restoran italia yang memiliki pemandangan matahari terbenam yang bagus. kamar adalah bersih.    ( - ) walaupun begitu hotel terletak di sebelah pantai senggigi, jarak dari sebagian besar kamar ke pantai ini masih jauh. kami masih harus berjalan 5 - 10 menit tergantung pada posisi kamar. hal ini tidak bahwa buruk, pantai pasir hitam dan penuh dengan batu karang (di pantai). semua pantai ini dipenuhi dengan batu karang dan kami harus langkah di atas mereka jika kami ingin pergi ke laut.    tidak hanya itu. hotel ini juga dikelilingi dengan pagar. ya, pagar. jadi kami merasa seperti kami berada di kamp konsentrasi.    kesimpulan terakhir, ini adalah bintang 5 kualitas hotel tapi pantai senggigi itu sendiri yang membuat hotel kurang diinginkan. saya akan tinggal di kuta lombok pantai atau pantai lain di lombok selatan yang memiliki pasir putih dan karang di pasir pantai gratis di kunjungan saya berikutnya.","staf sangat sopan dan baik","1"
"(+) hotel ini besar dan terawat dengan baik, taman yang sangat 2 terawat, staf sangat sopan dan baik (sebagian besar). mereka memiliki matahari terbenam bar/restoran italia yang memiliki pemandangan matahari terbenam yang bagus. kamar adalah bersih.    ( - ) walaupun begitu hotel terletak di sebelah pantai senggigi, jarak dari sebagian besar kamar ke pantai ini masih jauh. kami masih harus berjalan 5 - 10 menit tergantung pada posisi kamar. hal ini tidak bahwa buruk, pantai pasir hitam dan penuh dengan batu karang (di pantai). semua pantai ini dipenuhi dengan batu karang dan kami harus langkah di atas mereka jika kami ingin pergi ke laut.    tidak hanya itu. hotel ini juga dikelilingi dengan pagar. ya, pagar. jadi kami merasa seperti kami berada di kamp konsentrasi.    kesimpulan terakhir, ini adalah bintang 5 kualitas hotel tapi pantai senggigi itu sendiri yang membuat hotel kurang diinginkan. saya akan tinggal di kuta lombok pantai atau pantai lain di lombok selatan yang memiliki pasir putih dan karang di pasir pantai gratis di kunjungan saya berikutnya.","staf sangat sopan dan baik","1"
"(-) ada pelayan yg ga bagus responnya waktu aku minta coffe break di ballroom, sampe acara selesai dia mgkn lupa ngasi aku, dan waktu refil breakfast agak lama ya..  (+) yang paling aku suka dari hotel ini pemandangan dari kamarnya, kebetulan aku nginep di lantai 9 menghadap gunungsari, viewnya bener2 bikin cuci mata, kerenâ¤  makanannya oke dan ada seafood courtnya dibuffet, ah mantapâ¤ aku kasi bonus fotonya","pelayan","-1"
"(-) ada pelayan yg ga bagus responnya waktu aku minta coffe break di ballroom, sampe acara selesai dia mgkn lupa ngasi aku, dan waktu refil breakfast agak lama ya..  (+) yang paling aku suka dari hotel ini pemandangan dari kamarnya, kebetulan aku nginep di lantai 9 menghadap gunungsari, viewnya bener2 bikin cuci mata, kerenâ¤  makanannya oke dan ada seafood courtnya dibuffet, ah mantapâ¤ aku kasi bonus fotonya","pelayan","-1"
"(-) ada pelayan yg ga bagus responnya waktu aku minta coffe break di ballroom, sampe acara selesai dia mgkn lupa ngasi aku, dan waktu refil breakfast agak lama ya..  (+) yang paling aku suka dari hotel ini pemandangan dari kamarnya, kebetulan aku nginep di lantai 9 menghadap gunungsari, viewnya bener2 bikin cuci mata, kerenâ¤  makanannya oke dan ada seafood courtnya dibuffet, ah mantapâ¤ aku kasi bonus fotonya","pemandangan","1"
"(-) ada pelayan yg ga bagus responnya waktu aku minta coffe break di ballroom, sampe acara selesai dia mgkn lupa ngasi aku, dan waktu refil breakfast agak lama ya..  (+) yang paling aku suka dari hotel ini pemandangan dari kamarnya, kebetulan aku nginep di lantai 9 menghadap gunungsari, viewnya bener2 bikin cuci mata, kerenâ¤  makanannya oke dan ada seafood courtnya dibuffet, ah mantapâ¤ aku kasi bonus fotonya","pemandangan","1"
